wavelength,flux,flux_err,weight
2336.2,2.709698384532863e-14,5.895425988009868e-16,1.0
2337.6,2.7477170633785005e-14,5.940188494271685e-16,1.0
2339.0,2.829214474610577e-14,6.521069667966811e-16,1.0
2340.4,2.8669278576513064e-14,7.2751506747492205e-16,1.0
2341.8,2.904634350623779e-14,8.02908228562592e-16,1.0
2343.2,2.9423342149976917e-14,8.782865218619715e-16,1.0
2344.6,2.980027290859281e-14,9.536500207262865e-16,1.0
2346.0,3.017713734751237e-14,1.0289987999850846e-15,1.0
2347.4,3.055393703380525e-14,1.1043329358715657e-15,1.0
2348.8,3.0930670375158195e-14,1.1796525059514884e-15,1.0
2350.2,3.130733999557231e-14,1.2549575890537679e-15,1.0
2351.6,3.0982598700382724e-14,6.632751347159312e-16,1.0
2353.0,3.0278309233890285e-14,5.980902351376299e-16,1.0
2354.4,3.0561614115229106e-14,6.063596167628491e-16,1.0
2355.8,3.0754548535622314e-14,6.096209905998015e-16,1.0
2357.2,2.987847672149734e-14,5.960938156844339e-16,1.0
2358.6,3.075806291759744e-14,6.016914905511789e-16,1.0
2360.0,3.198289733474732e-14,6.33522724917463e-16,1.0
2361.4,3.141666330787188e-14,6.283636987949388e-16,1.0
2362.8,3.1351009537265623e-14,6.405796848012295e-16,1.0
2364.2,3.104611953944899e-14,6.374071514052358e-16,1.0
2365.6,3.1067624971437744e-14,6.025587935158782e-16,1.0
2367.0,3.1615018157893043e-14,6.210611947965495e-16,1.0
2368.4,3.070456951410929e-14,6.152288071503733e-16,1.0
2369.8,3.10757626134951e-14,6.00440164540764e-16,1.0
2371.2,3.1684385890543817e-14,9.463003813291625e-16,1.0
2372.6,3.1579867092691284e-14,9.293745435908642e-16,1.0
2374.0,3.1475420223035066e-14,9.124521815415818e-16,1.0
2375.4,3.1370963183423e-14,8.95533277588332e-16,1.0
2376.8,3.126657794844529e-14,8.786178138957275e-16,1.0
2378.2,3.1162182425705615e-14,8.617057723993375e-16,1.0
2379.6,3.10578186127561e-14,8.447971348186677e-16,1.0
2381.0,3.0953525333640553e-14,8.278918826698505e-16,1.0
2382.4,3.084922155702324e-14,8.109899972779409e-16,1.0
2383.8,3.074494925653817e-14,7.940914597888998e-16,1.0
2385.2,3.064074618278775e-14,7.7719625118125035e-16,1.0
